Date,ERJ,PBR,VALE
2002-03-22,14.68966293334961,2.230074167251587,0.8970341086387634
2002-04-05,13.961825370788574,2.337153196334839,0.9505472183227539
2002-04-12,14.983595848083496,2.2309587001800537,0.9707859754562378
2002-04-19,15.116556167602539,2.260162830352783,0.9467738270759583
2002-04-26,15.585464477539062,2.1769773960113525,0.934767484664917
2002-05-03,16.271299362182617,2.1106059551239014,0.9261918067932129
2002-05-10,15.613451957702637,1.997331976890564,0.9484890699386597
2002-05-17,15.984370231628418,2.0424649715423584,0.9450585246086121
2002-05-24,15.93537425994873,2.1176857948303223,0.969071626663208
2002-05-31,16.516250610351562,2.1070663928985596,1.0291022062301636
2002-06-07,15.277528762817383,1.929190754890442,1.0002875328063965
2002-06-14,15.284530639648438,1.7513163089752197,0.9676988124847412
2002-06-21,13.555924415588379,1.4318492412567139,0.9038946032524109
2002-06-28,15.075434684753418,1.6690160036087036,0.9491748809814453
2002-07-05,14.66685676574707,1.546007752418518,0.9381983876228333
2002-07-12,14.448471069335938,1.532733678817749,0.9299654960632324
2002-07-19,14.483689308166504,1.4336193799972534,0.914185643196106
2002-07-26,12.940921783447266,1.216806411743164,0.8267120718955994
2002-08-02,12.891611099243164,1.3619381189346313,0.8702775835990906
2002-08-09,13.095905303955078,1.4734419584274292,0.869591236114502
2002-08-16,11.884235382080078,1.2592839002609253,0.8888012766838074
2002-08-23,12.158974647521973,1.2787525653839111,0.869591236114502
2002-08-30,12.313953399658203,1.411495327949524,0.8781670928001404
2002-09-06,11.799700736999512,1.4194600582122803,0.8661609888076782
2002-09-13,11.658807754516602,1.496450662612915,0.8644456267356873
2002-09-20,10.719541549682617,1.2583990097045898,0.8455789685249329
2002-09-27,9.761174201965332,0.8849502205848694,0.7845186591148376
2002-10-04,10.400086402893066,1.107957363128662,0.8078449964523315
2002-10-11,9.626289367675781,0.9433565735816956,0.7762861847877502
2002-10-18,10.038034439086914,0.9699050784111023,0.7982401847839355
2002-10-25,11.00350284576416,1.1592848300933838,0.8912023305892944
2002-11-01,11.109990119934082,1.1902577877044678,0.9073250889778137
2002-11-08,11.692108154296875,1.1502125263214111,0.9038946032524109
2002-11-15,10.300697326660156,1.2177661657333374,0.9433327317237854
2002-11-22,10.215510368347168,1.2546950578689575,0.9567586183547974
2002-11-29,10.378789901733398,1.1799362897872925,0.9532254338264465
2002-12-06,10.641450881958008,1.1925455331802368,0.9927964806556702
2002-12-13,10.41428279876709,1.1934469938278198,1.0005686283111572
2002-12-20,11.13128662109375,1.443845272064209,1.016821026802063
2002-12-27,11.381446838378906,1.3321565389633179,1.0157610177993774
2003-01-03,11.374241828918457,1.3600789308547974,1.0210604667663574
2003-01-10,11.388646125793457,1.5807536840438843,1.003395438194275
2003-01-17,10.877202033996582,1.4519517421722412,0.9708909392356873
2003-01-24,10.128045082092285,1.249290943145752,0.9083552956581116
2003-01-31,10.15685749053955,1.335759162902832,0.9768971800804138
2003-02-07,9.177189826965332,1.2429858446121216,1.0228271484375
2003-02-14,7.491584300994873,1.2429858446121216,0.9539320468902588
2003-02-21,7.599635124206543,1.2546950578689575,0.9998621344566345
2003-02-28,7.426754951477051,1.2042548656463623,1.024593710899353
2003-03-07,7.304294586181641,1.2438864707946777,1.0115208625793457
2003-03-14,7.225054740905762,1.350170612335205,0.9892628192901611
2003-03-21,8.62252426147461,1.4249298572540283,0.982197105884552
2003-03-28,8.06785774230957,1.4150328636169434,0.9698309898376465
2003-04-04,9.710245132446289,1.5511654615402222,0.9556986689567566
2003-04-11,9.674226760864258,1.4557803869247437,0.9892628192901611
2003-04-25,9.587788581848145,1.5974688529968262,0.9794589877128601
2003-05-02,10.437793731689453,1.7243406772613525,1.0021451711654663
2003-05-09,10.264908790588379,1.8086121082305908,1.038514494895935
2003-05-16,10.610673904418945,1.8289861679077148,1.0298722982406616
2003-05-23,10.401776313781738,1.8002780675888062,1.073083519935608
2003-05-30,10.625082015991211,1.7734217643737793,1.0802857875823975
2003-06-06,12.245861053466797,1.9086284637451172,1.109093189239502
2003-06-13,14.594182968139648,1.9354846477508545,1.0622806549072266
2003-06-20,13.902652740478516,1.778977870941162,1.0817261934280396
2003-06-27,13.978281021118164,1.7734217643737793,1.071283221244812
2003-07-11,14.341357231140137,1.8845504522323608,1.1397016048431396
2003-07-18,14.014595031738281,1.956783652305603,1.146543264389038
2003-07-25,13.869362831115723,1.9123318195343018,1.216761589050293
2003-08-01,12.838238716125488,1.7752740383148193,1.2473701238632202
2003-08-08,13.135958671569824,1.914184808731079,1.2174818515777588
2003-08-15,12.714792251586914,1.9280755519866943,1.337753415107727
2003-08-22,13.49902629852295,1.9391889572143555,1.335233211517334
2003-08-29,14.806085586547852,2.046612501144409,1.3729190826416016
2003-09-05,16.156723022460938,2.2299740314483643,1.4484390020370483
2003-09-12,15.372483253479004,2.186448574066162,1.4627363681793213
2003-09-19,15.815435409545898,2.1290323734283447,1.525058627128601
2003-09-26,15.249037742614746,2.0697646141052246,1.4425733089447021
2003-10-03,15.822690963745117,2.2883167266845703,1.6661994457244873
2003-10-10,17.347593307495117,2.3475852012634277,1.643104076385498
2003-10-17,18.298847198486328,2.259608268737793,1.7162766456604004
2003-10-24,18.516687393188477,2.1910789012908936,1.6180447340011597
2003-10-31,18.843454360961914,2.176262140274048,1.6958889961242676
2003-11-07,19.71483039855957,2.252199649810791,1.6325019598007202
2003-11-14,19.08308219909668,2.2660908699035645,1.6158207654953003
2003-11-21,19.8673152923584,2.343050003051758,1.5594761371612549
