Date,GS,JPM,AXP
1999-05-07,55.667686462402344,26.376474380493164,28.75040054321289
1999-05-14,52.71063995361328,26.607839584350586,25.828659057617188
1999-05-21,50.69233322143555,26.565773010253906,25.668575286865234
1999-05-28,51.020870208740234,24.35721778869629,25.84200668334961
1999-06-04,49.096458435058594,25.0092716217041,26.735870361328125
1999-06-11,47.500572204589844,24.651700973510742,25.942062377929688
1999-06-18,48.67402648925781,26.96541976928711,26.615785598754883
1999-06-25,49.753578186035156,27.322999954223633,26.13550567626953
1999-07-02,53.273887634277344,28.7634334564209,29.429616928100586
1999-07-09,50.50458526611328,28.80569839477539,28.547536849975586
1999-07-16,51.11477279663086,27.664461135864258,29.05541229248047
1999-07-23,48.110748291015625,27.57992172241211,28.98858642578125
1999-07-30,48.29853057861328,26.058271408081055,28.173315048217773
1999-08-06,42.24360656738281,25.614463806152344,26.315582275390625
1999-08-13,47.50885772705078,26.755680084228516,28.80147361755371
1999-08-20,46.89736557006836,28.319622039794922,30.552274703979492
1999-08-27,46.33290100097656,28.108278274536133,30.92650604248047
1999-09-03,47.50885772705078,28.742286682128906,30.365175247192383
1999-09-10,47.48533630371094,26.18507194519043,29.937501907348633
1999-09-17,45.20397186279297,26.22734832763672,29.910757064819336
1999-09-24,46.615116119384766,25.48765754699707,29.16233253479004
1999-10-01,44.545448303222656,25.04384422302246,28.093122482299805
1999-10-08,48.120365142822266,25.69329071044922,32.060340881347656
1999-10-15,44.96879196166992,22.611793518066406,28.914535522460938
1999-10-22,49.392303466796875,27.414676666259766,31.832761764526367
1999-10-29,53.539737701416016,29.667356491088867,32.983985900878906
1999-11-05,55.56632995605469,29.32733154296875,32.07371520996094
1999-11-12,60.137969970703125,28.90229034423828,33.03755187988281
1999-11-19,60.27935028076172,28.222246170043945,33.19816589355469
1999-11-26,58.29988098144531,26.883384704589844,32.689491271972656
1999-12-03,59.6195068359375,27.88221549987793,33.6800537109375
1999-12-10,61.83463668823242,26.840877532958984,35.92898941040039
1999-12-17,60.46788787841797,24.73696517944336,33.224945068359375
1999-12-31,71.02501678466797,26.415842056274414,35.60772705078125
2000-01-07,62.258792877197266,24.87692642211914,32.69795227050781
2000-01-14,64.56819152832031,25.261619567871094,34.2128791809082
2000-01-21,64.70398712158203,24.94104766845703,32.537086486816406
2000-01-28,65.6950912475586,26.223358154296875,33.94472885131836
2000-02-04,63.94886779785156,27.95447540283203,34.628456115722656
2000-02-11,64.27924346923828,28.253692626953125,32.92585372924805
2000-02-18,61.022804260253906,25.560827255249023,29.65472412109375
2000-02-25,67.39408111572266,25.945524215698242,26.758962631225586
2000-03-03,77.39936065673828,27.740764617919922,28.63585090637207
2000-03-10,84.7617416381836,26.907257080078125,27.174560546875
2000-03-17,87.9709701538086,31.117528915405273,30.807680130004883
2000-03-24,91.60496520996094,32.89139938354492,33.381683349609375
2000-03-31,79.47591400146484,29.81383514404297,31.947195053100586
2000-04-07,77.39936065673828,29.6900691986084,29.82901954650879
2000-04-14,62.48583984375,27.11206817626953,28.74308967590332
2000-04-28,70.50479125976562,24.791851043701172,32.123111724853516
2000-05-05,67.95304870605469,24.813337326049805,31.5053768157959
2000-05-12,63.34562683105469,24.6199893951416,32.39171600341797
2000-05-19,63.936309814453125,24.920757293701172,32.432003021240234
2000-05-26,52.78407287597656,24.2332820892334,31.626235961914062
2000-06-02,65.68478393554688,27.73507308959961,36.420528411865234
2000-06-09,62.94392013549805,25.200040817260742,34.688148498535156
2000-06-16,68.0002670288086,23.427650451660156,33.197471618652344
2000-06-23,65.02323150634766,24.168840408325195,34.567256927490234
2000-06-30,71.66253662109375,23.749916076660156,33.600372314453125
2000-07-07,71.78070068359375,25.992876052856445,34.70084762573242
2000-07-14,78.77445220947266,27.25847053527832,36.5165901184082
2000-07-21,78.91574096679688,27.38015365600586,38.251644134521484
2000-07-28,74.56303405761719,25.11673355102539,36.1534423828125
2000-08-04,84.214599609375,27.226016998291016,38.61479568481445
2000-08-11,90.74360656738281,26.998868942260742,38.574432373046875
2000-08-18,88.56726837158203,26.349849700927734,37.767433166503906
2000-08-25,90.36508178710938,27.031309127807617,36.5165901184082
2000-09-01,98.12421417236328,29.237945556640625,37.72708511352539
2000-09-08,94.05542755126953,30.016759872436523,39.13932800292969
2000-09-15,94.52853393554688,25.506120681762695,38.2919807434082
2000-09-22,86.9586410522461,24.532611846923828,37.928836822509766
2000-09-29,86.34364318847656,23.980947494506836,39.22003173828125
2000-10-06,82.41677856445312,22.414506912231445,37.45301055908203
2000-10-13,76.833984375,20.748111724853516,34.86725997924805
2000-10-20,79.53355407714844,20.06195831298828,36.24093246459961
2000-10-27,70.48591613769531,22.316478729248047,36.07933044433594
2000-11-03,76.12288665771484,23.231351852416992,38.543880462646484
2000-11-10,67.59638214111328,22.381820678710938,36.88739776611328
2000-11-17,66.7437744140625,20.715442657470703,36.24093246459961
2000-11-24,61.76992416381836,20.45404815673828,33.21076583862305
2000-12-01,62.14891815185547,19.506498336791992,35.06928253173828
2000-12-08,69.63330078125,20.911487579345703,35.432899475097656
2000-12-15,65.70159912109375,22.969959259033203,35.311683654785156
2000-12-22,74.8913345336914,23.852174758911133,34.38243865966797
2000-12-29,81.04936218261719,23.75414276123047,35.513694763183594
2001-01-05,81.75990295410156,25.771324157714844,33.38331985473633
2001-01-12,82.423095703125,28.075288772583008,31.036396026611328
2001-01-19,84.17284393310547,26.627071380615234,31.481504440307617
2001-01-26,87.01814270019531,28.536069869995117,30.186620712280273
2001-02-02,86.46612548828125,28.77436637878418,31.148052215576172
